image_name,steering_angle,HMB
1479424215880976321.png,-0.005585053749376,HMB1
1479424215930775951.png,0.00349065847695,HMB1
1479424215980916687.png,0.00349065847695,HMB1
1479424216030737492.png,0.0052359877154219995,HMB1
1479424216080827865.png,0.0052359877154219995,HMB1
1479424216130778849.png,0.017802358604954,HMB1
1479424216180687241.png,0.017802358604954,HMB1
1479424216230735818.png,0.032114059105500005,HMB1
1479424216280736012.png,0.032114059105500005,HMB1
1479424216330780633.png,0.028972465917480004,HMB1
1479424216380799785.png,0.028972465917480004,HMB1
1479424216430781730.png,0.03036872930826,HMB1
1479424216480762377.png,0.03036872930826,HMB1
1479424216530765955.png,0.0352556504309,HMB1
1479424216580819669.png,0.0352556504309,HMB1
1479424216630792775.png,0.033161256462300004,HMB1
1479424216680854175.png,0.033161256462300004,HMB1
1479424216730862316.png,0.029321531951420003,HMB1
1479424216780885293.png,0.029321531951420003,HMB1
1479424216830915255.png,0.020943951234200002,HMB1
1479424216880892024.png,0.020943951234200002,HMB1
1479424216930863448.png,0.007679448649280001,HMB1
1479424216980850063.png,0.007679448649280001,HMB1
1479424217030843881.png,0.01117010749876,HMB1
1479424217080912028.png,0.01117010749876,HMB1
1479424217131110240.png,0.018151424452620003,HMB1
1479424217180921434.png,0.018151424452620003,HMB1
1479424217230878765.png,0.016406095400440003,HMB1
1479424217280910319.png,0.016406095400440003,HMB1
1479424217330970388.png,0.018151424452620003,HMB1
1479424217380972236.png,0.018151424452620003,HMB1
1479424217430969417.png,0.01710422672328,HMB1
1479424217480951876.png,0.01710422672328,HMB1
1479424217531074057.png,0.0157079640776,HMB1
1479424217580979521.png,0.0157079640776,HMB1
1479424217630965458.png,0.01466076597572,HMB1
1479424217680948110.png,0.01466076597572,HMB1
1479424217734361638.png,0.0139626339078,HMB1
1479424217781076117.png,0.0139626339078,HMB1
1479424217831057340.png,0.013264502212400001,HMB1
1479424217881013989.png,0.013264502212400001,HMB1
1479424217931011152.png,0.011170107126199999,HMB1
1479424217981167588.png,0.011170107126199999,HMB1
1479424218031072919.png,0.010821041278514,HMB1
1479424218081022005.png,0.010821041278514,HMB1
1479424218131058875.png,0.008726646192370001,HMB1
1479424218181091919.png,0.008726646192370001,HMB1
1479424218231056575.png,0.015009831637134003,HMB1
1479424218281119756.png,0.015009831637134003,HMB1
1479424218331349662.png,0.031764993071560006,HMB1
1479424218381131164.png,0.031764993071560006,HMB1
1479424218431158000.png,0.03316125646232,HMB1
1479424218481117250.png,0.03316125646232,HMB1
1479424218531217298.png,0.025830873101940006,HMB1
1479424218581217570.png,0.025830873101940006,HMB1
1479424218631187931.png,0.010122909769414,HMB1
1479424218681141521.png,0.010122909769414,HMB1
1479424218731231871.png,0.009424777887754001,HMB1
1479424218781192959.png,0.009424777887754001,HMB1
1479424218831165765.png,0.02094395123422,HMB1
1479424218881180254.png,0.02094395123422,HMB1
1479424218931253244.png,0.02094395160674,HMB1
